区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
内用薬,2149042F1157,テルミサルタン,２０ｍｇ１錠,局,,,テルミサルタン錠２０ｍｇ「サンド」,サンド,後発品,,,24.40 ,,H29.6.16収載
内用薬,2149042F1165,テルミサルタン,２０ｍｇ１錠,局,,,テルミサルタン錠２０ｍｇ「三和」,三和化学研究所,後発品,,,24.40 ,,H29.6.16収載
内用薬,2149042F1173,テルミサルタン,２０ｍｇ１錠,局,,,テルミサルタン錠２０ｍｇ「武田テバ」,武田テバ薬品,後発品,,,24.40 ,,H29.6.16収載
内用薬,2149042F1181,テルミサルタン,２０ｍｇ１錠,局,,,テルミサルタン錠２０ｍｇ「タナベ」,ニプロＥＳファーマ,後発品,,,24.40 ,,H29.6.16収載
内用薬,2149042F1190,テルミサルタン,２０ｍｇ１錠,局,,,テルミサルタン錠２０ｍｇ「ツルハラ」,鶴原製薬,後発品,,,24.40 ,,H29.6.16収載
内用薬,2149042F1203,テルミサルタン,２０ｍｇ１錠,局,,,テルミサルタン錠２０ｍｇ「トーワ」,東和薬品,後発品,,,24.40 ,,H29.6.16収載
内用薬,2149042F1211,テルミサルタン,２０ｍｇ１錠,局,,,テルミサルタン錠２０ｍｇ「日医工」,日医工,後発品,,,24.40 ,,H29.6.16収載
内用薬,2149042F1220,テルミサルタン,２０ｍｇ１錠,局,,,テルミサルタン錠２０ｍｇ「ニプロ」,ニプロ,後発品,,,24.40 ,,H29.6.16収載
内用薬,2149042F1238,テルミサルタン,２０ｍｇ１錠,局,,,テルミサルタン錠２０ｍｇ「ファイザー」,ダイト,後発品,,,24.40 ,,H29.6.16収載
内用薬,2149042F1246,テルミサルタン,２０ｍｇ１錠,局,,,テルミサルタン錠２０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,24.40 ,,H29.6.16収載
内用薬,2149042F2021,テルミサルタン,４０ｍｇ１錠,局,,,ミカルディス錠４０ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,115.00 ,,
内用薬,2149042F2030,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「ＤＳＥＰ」,第一三共エスファ,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2048,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「ＥＥ」,エルメッド　エーザイ,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2056,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「ＦＦＰ」,富士フイルムファーマ,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2064,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2072,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「ＫＮ」,小林化工,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2080,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「ＮＰＩ」,日本薬品工業,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2099,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2102,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「ＹＤ」,陽進堂,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2110,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「オーハラ」,大原薬品工業,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2129,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「杏林」,キョーリンリメディオ,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2137,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「ケミファ」,日本ケミファ,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2145,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「サワイ」,沢井製薬,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2153,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「サンド」,サンド,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2161,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「三和」,三和化学研究所,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2170,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「武田テバ」,武田テバ薬品,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2188,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「タナベ」,ニプロＥＳファーマ,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2196,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「ツルハラ」,鶴原製薬,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2200,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「トーワ」,東和薬品,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2218,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「日医工」,日医工,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2226,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「ニプロ」,ニプロ,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2234,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「ファイザー」,ダイト,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F2242,テルミサルタン,４０ｍｇ１錠,局,,,テルミサルタン錠４０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F3028,テルミサルタン,８０ｍｇ１錠,局,,,ミカルディス錠８０ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,174.80 ,,
内用薬,2149042F3036,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「ＤＳＥＰ」,第一三共エスファ,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3044,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「ＥＥ」,エルメッド　エーザイ,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3052,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「ＦＦＰ」,富士フイルムファーマ,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3060,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3079,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「ＫＮ」,小林化工,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3087,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「ＮＰＩ」,日本薬品工業,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3095,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3109,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「ＹＤ」,陽進堂,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3117,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「オーハラ」,大原薬品工業,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3125,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「杏林」,キョーリンリメディオ,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3133,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「ケミファ」,日本ケミファ,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3141,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「サワイ」,沢井製薬,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3150,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「サンド」,サンド,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3168,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「三和」,三和化学研究所,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3176,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「武田テバ」,武田テバ薬品,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3184,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「タナベ」,ニプロＥＳファーマ,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3192,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「ツルハラ」,鶴原製薬,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3206,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「トーワ」,東和薬品,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3214,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「日医工」,日医工,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3222,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「ニプロ」,ニプロ,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3230,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「ファイザー」,ダイト,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F3249,テルミサルタン,８０ｍｇ１錠,局,,,テルミサルタン錠８０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,69.00 ,,H29.6.16収載
内用薬,2149042F4024,テルミサルタン,２０ｍｇ１錠,,,,テルミサルタンＯＤ錠２０ｍｇ「サワイ」,沢井製薬,後発品,,,24.40 ,,H29.6.16収載
内用薬,2149042F4032,テルミサルタン,２０ｍｇ１錠,,,,テルミサルタンＯＤ錠２０ｍｇ「トーワ」,東和薬品,後発品,,,24.40 ,,H29.6.16収載
内用薬,2149042F5020,テルミサルタン,４０ｍｇ１錠,,,,テルミサルタンＯＤ錠４０ｍｇ「サワイ」,沢井製薬,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149042F5039,テルミサルタン,４０ｍｇ１錠,,,,テルミサルタンＯＤ錠４０ｍｇ「トーワ」,東和薬品,後発品,,,46.00 ,,H29.6.16収載
内用薬,2149043F1020,アゼルニジピン,８ｍｇ１錠,局,,,カルブロック錠８ｍｇ,第一三共,,先発品,○,32.50 ,,
内用薬,2149043F1038,アゼルニジピン,８ｍｇ１錠,局,,,アゼルニジピン錠８ｍｇ「ＦＦＰ」,富士フイルムファーマ,後発品,,,14.30 ,,
内用薬,2149043F1046,アゼルニジピン,８ｍｇ１錠,局,,,アゼルニジピン錠８ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,16.40 ,,
内用薬,2149043F1054,アゼルニジピン,８ｍｇ１錠,局,,,アゼルニジピン錠８ｍｇ「ＫＯＧ」,興和,後発品,,,14.30 ,H30.3.31まで,
内用薬,2149043F1062,アゼルニジピン,８ｍｇ１錠,局,,,アゼルニジピン錠８ｍｇ「ＮＰ」,ニプロ,後発品,,,14.30 ,,
内用薬,2149043F1070,アゼルニジピン,８ｍｇ１錠,局,,,アゼルニジピン錠８ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,14.30 ,,
内用薬,2149043F1089,アゼルニジピン,８ｍｇ１錠,局,,,アゼルニジピン錠８ｍｇ「ＹＤ」,陽進堂,後発品,,,16.40 ,,
内用薬,2149043F1097,アゼルニジピン,８ｍｇ１錠,局,,,アゼルニジピン錠８ｍｇ「ケミファ」,日本ケミファ,後発品,,,14.30 ,,
内用薬,2149043F1100,アゼルニジピン,８ｍｇ１錠,局,,,アゼルニジピン錠８ｍｇ「タナベ」,ニプロＥＳファーマ,後発品,,,14.30 ,,
内用薬,2149043F1119,アゼルニジピン,８ｍｇ１錠,局,,,アゼルニジピン錠８ｍｇ「テバ」,武田テバ薬品,後発品,,,16.40 ,,
内用薬,2149043F1127,アゼルニジピン,８ｍｇ１錠,局,,,アゼルニジピン錠８ｍｇ「トーワ」,東和薬品,後発品,,,14.30 ,,
内用薬,2149043F1135,アゼルニジピン,８ｍｇ１錠,局,,,アゼルニジピン錠８ｍｇ「日医工」,日医工,後発品,,,14.30 ,,
内用薬,2149043F1143,アゼルニジピン,８ｍｇ１錠,局,,,アゼルニジピン錠８ｍｇ「ＢＭＤ」,ビオメディクス,後発品,,,14.30 ,,H29.10.1収載
内用薬,2149043F2026,アゼルニジピン,１６ｍｇ１錠,局,,,カルブロック錠１６ｍｇ,第一三共,,先発品,○,57.60 ,,
内用薬,2149043F2034,アゼルニジピン,１６ｍｇ１錠,局,,,アゼルニジピン錠１６ｍｇ「ＦＦＰ」,富士フイルムファーマ,後発品,,,25.20 ,,
内用薬,2149043F2042,アゼルニジピン,１６ｍｇ１錠,局,,,アゼルニジピン錠１６ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,29.20 ,,
内用薬,2149043F2050,アゼルニジピン,１６ｍｇ１錠,局,,,アゼルニジピン錠１６ｍｇ「ＫＯＧ」,興和,後発品,,,25.20 ,H30.3.31まで,
内用薬,2149043F2069,アゼルニジピン,１６ｍｇ１錠,局,,,アゼルニジピン錠１６ｍｇ「ＮＰ」,ニプロ,後発品,,,25.20 ,,
内用薬,2149043F2077,アゼルニジピン,１６ｍｇ１錠,局,,,アゼルニジピン錠１６ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,29.20 ,,
内用薬,2149043F2085,アゼルニジピン,１６ｍｇ１錠,局,,,アゼルニジピン錠１６ｍｇ「ＹＤ」,陽進堂,後発品,,,25.20 ,,
内用薬,2149043F2093,アゼルニジピン,１６ｍｇ１錠,局,,,アゼルニジピン錠１６ｍｇ「ケミファ」,日本ケミファ,後発品,,,25.20 ,,
内用薬,2149043F2107,アゼルニジピン,１６ｍｇ１錠,局,,,アゼルニジピン錠１６ｍｇ「タナベ」,ニプロＥＳファーマ,後発品,,,25.20 ,,
内用薬,2149043F2115,アゼルニジピン,１６ｍｇ１錠,局,,,アゼルニジピン錠１６ｍｇ「テバ」,武田テバ薬品,後発品,,,29.20 ,,
内用薬,2149043F2123,アゼルニジピン,１６ｍｇ１錠,局,,,アゼルニジピン錠１６ｍｇ「トーワ」,東和薬品,後発品,,,25.20 ,,
内用薬,2149043F2131,アゼルニジピン,１６ｍｇ１錠,局,,,アゼルニジピン錠１６ｍｇ「日医工」,日医工,後発品,,,25.20 ,,
内用薬,2149043F2140,アゼルニジピン,１６ｍｇ１錠,局,,,アゼルニジピン錠１６ｍｇ「ＢＭＤ」,ビオメディクス,後発品,,,25.20 ,,H29.10.1収載
内用薬,2149044F1024,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメテック錠１０ｍｇ,第一三共,,先発品,○,59.30 ,H30.3.31まで,
内用薬,2149044F1032,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメサルタン錠１０ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F1040,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメサルタン錠１０ｍｇ「ＫＮ」,小林化工,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F1059,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメサルタン錠１０ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F1067,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメサルタン錠１０ｍｇ「ＹＤ」,陽進堂,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F1075,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメサルタン錠１０ｍｇ「オーハラ」,大原薬品工業,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F1083,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメサルタン錠１０ｍｇ「杏林」,キョーリンリメディオ,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F1091,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメサルタン錠１０ｍｇ「ケミファ」,日本ケミファ,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F1105,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメサルタン錠１０ｍｇ「三和」,日本薬品工業,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F1113,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメサルタン錠１０ｍｇ「ツルハラ」,鶴原製薬,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F1121,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメサルタン錠１０ｍｇ「日医工」,日医工,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F1130,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメサルタン錠１０ｍｇ「日新」,日新製薬（山形）,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F1148,オルメサルタンメドキソミル,１０ｍｇ１錠,局,,,オルメサルタン錠１０ｍｇ「ニプロ」,ニプロ,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F2020,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメテック錠２０ｍｇ,第一三共,,先発品,○,112.80 ,H30.3.31まで,
内用薬,2149044F2039,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメサルタン錠２０ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,45.10 ,,H29.12.8収載
内用薬,2149044F2047,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメサルタン錠２０ｍｇ「ＫＮ」,小林化工,後発品,,,45.10 ,,H29.12.8収載
内用薬,2149044F2055,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメサルタン錠２０ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,45.10 ,,H29.12.8収載
内用薬,2149044F2063,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメサルタン錠２０ｍｇ「ＹＤ」,陽進堂,後発品,,,45.10 ,,H29.12.8収載
内用薬,2149044F2071,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメサルタン錠２０ｍｇ「オーハラ」,大原薬品工業,後発品,,,45.10 ,,H29.12.8収載
内用薬,2149044F2080,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメサルタン錠２０ｍｇ「杏林」,キョーリンリメディオ,後発品,,,45.10 ,,H29.12.8収載
内用薬,2149044F2098,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメサルタン錠２０ｍｇ「ケミファ」,日本ケミファ,後発品,,,45.10 ,,H29.12.8収載
内用薬,2149044F2101,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメサルタン錠２０ｍｇ「三和」,日本薬品工業,後発品,,,45.10 ,,H29.12.8収載
内用薬,2149044F2110,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメサルタン錠２０ｍｇ「ツルハラ」,鶴原製薬,後発品,,,45.10 ,,H29.12.8収載
内用薬,2149044F2128,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメサルタン錠２０ｍｇ「日医工」,日医工,後発品,,,45.10 ,,H29.12.8収載
内用薬,2149044F2136,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメサルタン錠２０ｍｇ「日新」,日新製薬（山形）,後発品,,,45.10 ,,H29.12.8収載
内用薬,2149044F2144,オルメサルタンメドキソミル,２０ｍｇ１錠,局,,,オルメサルタン錠２０ｍｇ「ニプロ」,ニプロ,後発品,,,45.10 ,,H29.12.8収載
内用薬,2149044F3027,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメテック錠５ｍｇ,第一三共,,先発品,○,31.50 ,H30.3.31まで,
内用薬,2149044F3035,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F3043,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「ＫＮ」,小林化工,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F3051,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F3060,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「ＹＤ」,陽進堂,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F3078,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「アメル」,共和薬品工業,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F3086,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「オーハラ」,大原薬品工業,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F3094,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「杏林」,キョーリンリメディオ,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F3108,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「ケミファ」,日本ケミファ,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F3116,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「三和」,日本薬品工業,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F3124,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「ツルハラ」,鶴原製薬,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F3132,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「日医工」,日医工,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F3140,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「日新」,日新製薬（山形）,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F3159,オルメサルタンメドキソミル,５ｍｇ１錠,局,,,オルメサルタン錠５ｍｇ「ニプロ」,ニプロ,後発品,,,12.50 ,,H29.12.8収載
内用薬,2149044F4023,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメテック錠４０ｍｇ,第一三共,,先発品,○,171.50 ,H30.3.31まで,
内用薬,2149044F4031,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F4040,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「ＫＮ」,小林化工,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F4058,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F4066,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「ＹＤ」,陽進堂,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F4074,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「アメル」,共和薬品工業,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F4082,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「オーハラ」,大原薬品工業,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F4090,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「杏林」,キョーリンリメディオ,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F4104,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「ケミファ」,日本ケミファ,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F4112,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「三和」,日本薬品工業,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F4120,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「ツルハラ」,鶴原製薬,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F4139,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「日医工」,日医工,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F4147,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「日新」,日新製薬（山形）,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F4155,オルメサルタンメドキソミル,４０ｍｇ１錠,局,,,オルメサルタン錠４０ｍｇ「ニプロ」,ニプロ,後発品,,,67.70 ,,H29.12.8収載
内用薬,2149044F5020,オルメサルタンメドキソミル,１０ｍｇ１錠,,,,オルメテックＯＤ錠１０ｍｇ,第一三共,,先発品,○,59.30 ,,
内用薬,2149044F5038,オルメサルタンメドキソミル,１０ｍｇ１錠,,,,オルメサルタンＯＤ錠１０ｍｇ「ＤＳＥＰ」,第一三共エスファ,後発品,,,29.60 ,,H29.6.16収載
内用薬,2149044F5046,オルメサルタンメドキソミル,１０ｍｇ１錠,,,,オルメサルタンＯＤ錠１０ｍｇ「ＥＥ」,エルメッド　エーザイ,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F5054,オルメサルタンメドキソミル,１０ｍｇ１錠,,,,オルメサルタンＯＤ錠１０ｍｇ「ＫＮ」,小林化工,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F5062,オルメサルタンメドキソミル,１０ｍｇ１錠,,,,オルメサルタンＯＤ錠１０ｍｇ「アメル」,共和薬品工業,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F5070,オルメサルタンメドキソミル,１０ｍｇ１錠,,,,オルメサルタンＯＤ錠１０ｍｇ「サワイ」,沢井製薬,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F5089,オルメサルタンメドキソミル,１０ｍｇ１錠,,,,オルメサルタンＯＤ錠１０ｍｇ「トーワ」,東和薬品,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F5097,オルメサルタンメドキソミル,１０ｍｇ１錠,,,,オルメサルタンＯＤ錠１０ｍｇ「日医工」,日医工,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F5100,オルメサルタンメドキソミル,１０ｍｇ１錠,,,,オルメサルタンＯＤ錠１０ｍｇ「ニプロ」,ニプロ,後発品,,,23.70 ,,H29.12.8収載
内用薬,2149044F5119,オルメサルタンメドキソミル,１０ｍｇ１錠,,,,オルメサルタンＯＤ錠１０ｍｇ「ファイザー」,マイラン製薬,後発品,,,23.70 ,,H29.12.8収載
